City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Jamestown,US,2022-04-11 00:22:07,42.097,-79.2353,37.18,54,0,10.36,clear sky
60,Buta,CD,2022-04-11 00:26:01,2.7858,24.73,68.47,99,100,3.65,light rain
61,Gao,ML,2022-04-11 00:26:01,16.6362,1.637,87.67,8,0,10.83,clear sky
62,Los Llanos De Aridane,ES,2022-04-11 00:25:01,28.6585,-17.9182,60.55,90,0,3.44,clear sky
63,Cidreira,BR,2022-04-11 00:26:01,-30.1811,-50.2056,71.96,88,100,19.84,overcast clouds
64,Arraial Do Cabo,BR,2022-04-11 00:26:02,-22.9661,-42.0278,75.81,82,26,4.92,scattered clouds
65,Acarau,BR,2022-04-11 00:24:29,-2.8856,-40.12,77.14,86,75,4.43,broken clouds
66,Berlevag,NO,2022-04-11 00:24:43,70.8578,29.0864,33.6,98,100,29.12,snow
67,Port Elizabeth,ZA,2022-04-11 00:26:03,-33.918,25.5701,66.09,96,20,11.5,few clouds
68,Chuy,UY,2022-04-11 00:26:04,-33.6971,-53.4616,68.2,88,38,12.21,scattered clouds
69,Montecchio Maggiore,IT,2022-04-11 00:26:04,45.5037,11.412,47.17,57,6,4.47,clear sky
70,Castro,BR,2022-04-11 00:26:05,-24.7911,-50.0119,61.34,77,45,5.06,scattered clouds
71,Savannah Bight,HN,2022-04-11 00:26:05,16.45,-85.85,79.27,76,60,19.73,broken clouds
72,Brigantine,US,2022-04-11 00:23:39,39.4101,-74.3646,47.05,54,40,11.5,scattered clouds
73,Hamilton,US,2022-04-11 00:25:08,39.1834,-84.5333,58.44,44,0,13.8,clear sky
74,Formosa,AR,2022-04-11 00:24:24,-26.1775,-58.1781,75.18,88,100,13.8,moderate rain
75,Kaabong,UG,2022-04-11 00:26:06,3.4836,34.1492,68.04,63,49,14.97,scattered clouds
76,Asosa,ET,2022-04-11 00:26:06,10.0667,34.5333,73.45,42,67,1.01,broken clouds
77,Naifaru,MV,2022-04-11 00:26:07,5.4444,73.3657,84.52,72,34,13.15,scattered clouds
78,Marevo,RU,2022-04-11 00:26:07,57.3146,32.0804,33.26,86,100,4.7,overcast clouds
79,Nirmal,IN,2022-04-11 00:26:08,19.1,78.35,84.36,38,79,3.09,broken clouds
80,Santa Rosa,PH,2022-04-11 00:22:19,14.3122,121.1114,82.38,75,100,3.53,overcast clouds
81,Mahebourg,MU,2022-04-11 00:26:08,-20.4081,57.7,77.29,78,40,14.97,scattered clouds
82,Jumla,NP,2022-04-11 00:26:08,29.2747,82.1838,47.95,49,4,4.27,clear sky
83,Saint George,US,2022-04-11 00:26:09,37.1041,-113.5841,69.64,8,0,9.22,clear sky
84,Gaoua,BF,2022-04-11 00:26:09,10.2992,-3.2508,90.95,29,42,5.99,scattered clouds
85,Rodrigues Alves,BR,2022-04-11 00:24:24,-7.738,-72.6509,77.2,93,99,2.77,overcast clouds
86,Turukhansk,RU,2022-04-11 00:26:09,65.8167,87.9833,-6.48,100,99,5.12,overcast clouds
87,Sikeston,US,2022-04-11 00:26:10,36.8767,-89.5879,75.24,38,0,14.97,clear sky
88,Hambantota,LK,2022-04-11 00:25:34,6.1241,81.1185,73.74,100,20,0.0,few clouds
89,Coquimbo,CL,2022-04-11 00:27:10,-29.9533,-71.3436,59.14,81,4,5.91,clear sky
90,Valparaiso,CL,2022-04-11 00:27:11,-33.0393,-71.6273,59.47,68,0,6.91,clear sky
91,Alto Araguaia,BR,2022-04-11 00:27:12,-17.3147,-53.2153,75.15,69,63,1.39,broken clouds
92,Ystad,SE,2022-04-11 00:27:12,55.4297,13.8204,36.34,74,7,14.88,clear sky
93,Olafsvik,IS,2022-04-11 00:27:12,64.8945,-23.7142,37.18,75,100,9.64,overcast clouds
94,Port Hawkesbury,CA,2022-04-11 00:27:13,45.6169,-61.3485,38.32,96,100,10.36,mist
95,La Rioja,ES,2022-04-11 00:27:13,42.25,-2.5,47.98,81,53,6.76,broken clouds
96,Tigzirt,DZ,2022-04-11 00:27:13,36.8886,4.1198,60.75,63,66,10.45,broken clouds
97,Acajutla,SV,2022-04-11 00:27:14,13.5928,-89.8275,84.29,62,61,5.88,broken clouds
