City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Wajid,SO,75.18,scattered clouds,3.8093,43.2471,xamdihotelresturant114
200,Carauari,BR,74.55,broken clouds,-4.8828,-66.8958,Hotel Fellip
207,Alta Floresta,BR,73.33,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
209,Zuenoula,CI,79.09,scattered clouds,7.4292,-6.0431,Hotel Prestige Zla
211,Sao Felix Do Xingu,BR,72.99,broken clouds,-6.6447,-51.995,Rio Xingu Camping
212,Tutoia,BR,76.06,overcast clouds,-2.7619,-42.2744,Pousada Guará's
213,Yining,CN,73.83,clear sky,29.0361,114.5636,Xiushui Hotel
214,Sharjah,AE,76.98,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
220,Pakaur,IN,75.87,clear sky,24.6333,87.85,Jannisar Ansari
222,Iranshahr,IR,73.74,clear sky,27.2025,60.6848,نیک سرشت
226,Destin,US,68.97,clear sky,30.3935,-86.4958,The Inn on Destin Harbor
229,Itapora,BR,75.22,broken clouds,-22.0799,-54.7874,Hotel Santa Fé
238,Quatre Cocos,MU,77.11,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
242,Pizarro,CO,78.15,moderate rain,4.9533,-77.366,Hotel Limonar
244,Warri,NG,78.39,scattered clouds,5.5167,5.75,BON Hotel Delta
245,Keti Bandar,PK,79.25,broken clouds,24.1447,67.4497,Haji laloo memon house
248,Feijo,BR,71.96,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
249,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
250,Itapaci,BR,72.72,broken clouds,-14.9508,-49.5494,Gold Pallace Hotel
253,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
258,Sao Joao Da Barra,BR,74.97,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
260,Bolobo,CD,73.4,overcast clouds,-2.1667,16.2333,Hotel de Stephen
262,Batticaloa,LK,78.31,broken clouds,7.7102,81.6924,Grand Star Guest House
264,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
266,Rio Grande,BR,71.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
269,Montepuez,MZ,66.56,few clouds,-13.1256,38.9997,PembaAparthotel
270,Atar,MR,77.45,clear sky,20.5169,-13.0499,Oumou Elghoura
271,Chincha Alta,PE,66.79,broken clouds,-13.4099,-76.1323,Casa Andina Standard Chincha
278,Miraflores,MX,72.36,overcast clouds,19.2167,-98.8083,Hotel Mansión
280,Remedios,CU,74.32,overcast clouds,22.4947,-79.5458,Hostal Yunai
289,Umm Lajj,SA,77.41,clear sky,25.0213,37.2685,Moon light Furnished Units
291,Bayonet Point,US,67.3,clear sky,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
292,Ormara,PK,79.9,overcast clouds,25.2088,64.6357,Kenara Colony house for Rent
294,Jaleswar,NP,76.8,clear sky,26.6471,85.8008,Sundar Mobile Repairing Centre
296,Maxixe,MZ,75.27,light rain,-23.8597,35.3472,Oceano
297,Puerto Maldonado,PE,77.4,clear sky,-12.6,-69.1833,Wasai Hotel
